,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
AWAY,0.8200000000000001,0.05932958789676531,0.608,0.74,0.05059644256269409,0.608,0.788,0.04664761515876241,0.608,stock,0.8200000000000001
AWRE,0.768,0.05878775382679627,0.456,0.7200000000000001,0.03346640106136301,0.472,0.792,0.05878775382679628,0.456,both,0.792
AXAS,0.8039999999999999,0.0463033476111609,0.388,0.808,0.056,0.404,0.792,0.0466476151587624,0.388,covid,0.808
AXDX,0.8480000000000001,0.02039607805437116,0.44,0.8240000000000001,0.05851495535331118,0.44,0.8320000000000001,0.020396078054371124,0.44,stock,0.8480000000000001
AXGN,0.8240000000000001,0.04454211490264018,0.552,0.708,0.04489988864128729,0.528,0.8240000000000001,0.03440930106817049,0.552,stock,0.8240000000000001
AXTI,0.78,0.07694153624668536,0.6,0.728,0.0483321838943783,0.616,0.7839999999999999,0.054258639865002144,0.6,both,0.7839999999999999
AZPN,0.7839999999999999,0.068585712797929,0.54,0.6759999999999999,0.04963869458396343,0.536,0.784,0.06374950980203693,0.54,both,0.784
BANF,0.772,0.02039607805437116,0.584,0.6839999999999999,0.07088018058667742,0.564,0.7680000000000001,0.016000000000000014,0.584,stock,0.772
BANR,0.8320000000000001,0.06523802572120038,0.552,0.704,0.07939773296511682,0.528,0.8119999999999999,0.064,0.552,stock,0.8320000000000001
BANX,0.748,0.0744043009509531,0.564,0.612,0.07222188034107115,0.588,0.728,0.08634813257969161,0.564,stock,0.748
BBBY,0.808,0.02712931993250105,0.62,0.7240000000000001,0.03878143885933064,0.596,0.792,0.027129319932501058,0.62,stock,0.808
BBGI,0.8119999999999999,0.027129319932501044,0.524,0.7360000000000001,0.04454211490264021,0.48,0.7999999999999999,0.02828427124746188,0.524,stock,0.8119999999999999
BBOX,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
BBRG,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
BBSI,0.796,0.059866518188383074,0.572,0.704,0.07939773296511682,0.564,0.768,0.05153639490690049,0.572,stock,0.796
BCBP,0.776,0.04270831300812525,0.532,0.7,0.06693280212272606,0.54,0.768,0.03487119154832539,0.532,stock,0.776
BCLI,0.86,0.04560701700396553,0.596,0.796,0.0463033476111609,0.6,0.884,0.03200000000000003,0.596,both,0.884
BCMXY,0.876551724137931,0.02813252145430504,0.6027397260273972,0.8440000000000001,0.05425863986500215,0.384,0.876551724137931,0.041745506070128426,0.6027397260273972,stock,0.876551724137931
BCOR,0.844,0.04270831300812524,0.604,0.732,0.05600000000000001,0.604,0.8400000000000001,0.061967733539318684,0.604,stock,0.844
BCOV,0.768,0.05153639490690048,0.6,0.684,0.05122499389946279,0.612,0.776,0.032,0.6,both,0.776
BCPC,0.828,0.015999999999999973,0.544,0.732,0.03919183588453085,0.568,0.836,0.026532998322843192,0.544,both,0.836
BCRX,0.8720000000000001,0.048332183894378294,0.588,0.8119999999999999,0.05741080037762929,0.592,0.884,0.04800000000000001,0.588,both,0.884
BCS,0.8240000000000001,0.02332380757938118,0.628,0.724,0.09748846085563151,0.592,0.8160000000000001,0.044542114902640165,0.628,stock,0.8240000000000001
BDMS,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
BDSI,0.868,0.041182520563948,0.488,0.7959999999999999,0.03878143885933063,0.528,0.852,0.05878775382679624,0.488,stock,0.868
BEAT,0.7,0.04082482904638632,0.47058823529411764,0.5888888888888889,0.1709180006990573,0.4523809523809524,0.7,0.2147349787787521,0.47058823529411764,stock,0.7
BEBE,0.7520000000000001,0.04118252056394804,0.44,0.68,0.043817804600413277,0.448,0.74,0.04195235392680606,0.44,stock,0.7520000000000001
BECN,0.808,0.0515363949069005,0.656,0.724,0.04079215610874228,0.628,0.808,0.04308131845707602,0.656,stock,0.808
BELFB,0.7799999999999999,0.033466401061363026,0.556,0.672,0.039191835884530846,0.544,0.784,0.0344093010681705,0.556,both,0.784
BFIN,0.76,0.07042726744663605,0.54,0.688,0.08352245207128436,0.532,0.776,0.07939773296511682,0.54,both,0.776
BGCP,0.8160000000000001,0.007999999999999964,0.512,0.7879999999999999,0.044899888641287286,0.476,0.82,0.021908902300206624,0.512,both,0.82
BGFV,0.82,0.03794733192202054,0.648,0.74,0.03794733192202055,0.592,0.8160000000000001,0.042708313008125234,0.648,stock,0.82
BGMD,0.7,0.050596442562694056,0.444,0.652,0.06144916598294886,0.484,0.724,0.058514955353311186,0.444,both,0.724
BIDU,0.82,0.017888543819998284,0.612,0.752,0.039191835884530846,0.628,0.86,0.0419523539268061,0.612,both,0.86
BIIB,0.8160000000000001,0.04454211490264017,0.492,0.692,0.03249615361854382,0.508,0.8119999999999999,0.04833218389437828,0.492,stock,0.8160000000000001
BIND,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
BIOC,0.8400000000000001,0.03794733192202055,0.496,0.7000000000000001,0.07155417527999329,0.508,0.844,0.03878143885933064,0.496,both,0.844
BITRF,0.76,0.06811754546370556,0.452,0.624,0.058514955353311165,0.452,0.744,0.05571355310873646,0.452,stock,0.76
BJRI,0.8240000000000001,0.04630334761116091,0.608,0.7120000000000001,0.053065996645686404,0.592,0.8160000000000001,0.0649923072370877,0.608,stock,0.8240000000000001
