,stock_avg,stock_std,stock_dis,covid_avg,covid_std,covid_dis,both_avg,both_std,both_dis,highest,max_score
ARAH,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,stock,-1.0
ARC,0.808,0.009797958971132668,0.588,0.76,0.0521536192416212,0.572,0.7840000000000001,0.014966629547095777,0.588,stock,0.808
ARCC,0.868,0.027129319932501096,0.612,0.784,0.03199999999999999,0.592,0.868,0.037094473981982845,0.612,stock,0.868
ARCO,0.812,0.02039607805437111,0.492,0.7040000000000001,0.036660605559646696,0.476,0.7999999999999999,0.017888543819998284,0.492,stock,0.812
ARDC,0.8160000000000001,0.026532998322843178,0.668,0.748,0.05741080037762928,0.64,0.8160000000000001,0.06118823416311343,0.668,stock,0.8160000000000001
ARE,0.8320000000000001,0.020396078054371124,0.54,0.752,0.0699714227381436,0.496,0.844,0.023323807579381222,0.54,both,0.844
ARHVF,0.8160000000000001,0.04079215610874226,0.508,0.8160000000000001,0.023323807579381177,0.368,0.8160000000000001,0.052763623833091675,0.508,stock,0.8160000000000001
ARI,0.784,0.058514955353311186,0.58,0.708,0.041182520563948,0.552,0.8039999999999999,0.06621178142898741,0.58,both,0.8039999999999999
ARL,0.8480000000000001,0.05878775382679629,0.484,0.656,0.046303347611160894,0.48,0.8200000000000001,0.045607017003965515,0.484,stock,0.8480000000000001
ARR,0.788,0.01599999999999997,0.644,0.7440000000000001,0.03440930106817049,0.616,0.792,0.041182520563948,0.644,both,0.792
ARW,0.808,0.053065996645686404,0.704,0.748,0.0711055553385247,0.672,0.796,0.0752595508889071,0.704,stock,0.808
ASA,0.828,0.048332183894378294,0.58,0.7360000000000001,0.04800000000000001,0.56,0.804,0.04079215610874226,0.58,stock,0.828
ASB,0.8360000000000001,0.02939387691339812,0.58,0.7120000000000001,0.043081318457076016,0.576,0.8320000000000001,0.02993325909419152,0.58,stock,0.8360000000000001
ASC,0.86,0.035777087639996624,0.416,0.768,0.04664761515876241,0.416,0.8360000000000001,0.07310266752998827,0.416,stock,0.86
ASGN,0.744,0.06974238309665078,0.608,0.672,0.04308131845707602,0.576,0.752,0.06881860213634101,0.608,both,0.752
ASPN,0.784,0.09748846085563152,0.584,0.724,0.04079215610874227,0.612,0.78,0.08390470785361212,0.584,stock,0.784
ASR,0.796,0.07735631842325486,0.588,0.772,0.06273754856543247,0.564,0.82,0.0565685424949238,0.588,both,0.82
ASX,0.788,0.05455272678794342,0.636,0.7480000000000001,0.0483321838943783,0.612,0.788,0.046647615158762396,0.636,stock,0.788
ATEN,0.8,0.045607017003965515,0.592,0.732,0.04118252056394801,0.6,0.764,0.06374950980203688,0.592,stock,0.8
ATI,0.7959999999999999,0.052763623833091675,0.576,0.7080000000000001,0.09346657156438334,0.552,0.828,0.041182520563948,0.576,both,0.828
ATO,0.8480000000000001,0.09599999999999999,0.512,0.664,0.05425863986500215,0.464,0.8560000000000001,0.10229369482035536,0.512,both,0.8560000000000001
AU,0.7999999999999999,0.045607017003965515,0.536,0.6719999999999999,0.06764613810115105,0.532,0.784,0.05425863986500215,0.536,stock,0.7999999999999999
AUTR,0.9308677098150783,0.03939614082074255,0.425531914893617,0.86,0.04560701700396553,0.184,0.9308677098150783,0.026852020051010235,0.425531914893617,stock,0.9308677098150783
AVB,0.772,0.05741080037762929,0.504,0.696,0.05276362383309168,0.492,0.76,0.07694153624668537,0.504,stock,0.772
AVD,0.852,0.043081318457076044,0.568,0.7040000000000001,0.04079215610874227,0.572,0.844,0.008000000000000007,0.568,stock,0.852
